================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.16:41390         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes     5.046589000         9.8410
192.168.1.16:41584         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    15.128786000         9.8567
192.168.1.16:40378         <-> 121.37.218.156:30146            10 5493 bytes      14 1439 bytes      24 6932 bytes    23.366052000         9.9988
192.168.1.16:41770         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    25.205389000         0.1057
192.168.1.16:42110         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    35.059648000         0.1147
192.168.1.16:39930         <-> 121.37.218.156:30146            10 5493 bytes      13 1367 bytes      23 6860 bytes     3.264835000         0.0634
192.168.1.16:41394         <-> 114.132.204.167:30139           11 5553 bytes      12 1323 bytes      23 6876 bytes     5.083396000        10.0574
192.168.1.16:41586         <-> 114.132.204.167:30139           11 5553 bytes      12 1323 bytes      23 6876 bytes    15.169157000        10.0555
192.168.1.16:40380         <-> 121.37.218.156:30146            11 5553 bytes      12 1331 bytes      23 6884 bytes    23.410601000        10.0421
192.168.1.16:41772         <-> 114.132.204.167:30139           10 5493 bytes      13 1359 bytes      23 6852 bytes    25.253830000         0.0553
192.168.1.16:40700         <-> 121.37.218.156:30146            10 5493 bytes      13 1367 bytes      23 6860 bytes    33.523672000         0.0800
192.168.1.16:39922         <-> 121.37.218.156:30146             9 5421 bytes      13 1379 bytes      22 6800 bytes     3.229791000         0.0965
192.168.1.16:42130         <-> 114.132.204.167:30139            7 5224 bytes       8 982 bytes      15 6206 bytes    35.096054000         0.0430
114.132.204.167:30139      <-> 192.168.1.16:40868               6 432 bytes       6 432 bytes      12 864 bytes     2.929942000        31.4884
192.168.1.16:37786         <-> 114.132.204.167:30139            6 432 bytes       6 432 bytes      12 864 bytes     3.686069000        30.9849
192.168.1.16:40986         <-> 114.132.204.167:30139            3 269 bytes       5 377 bytes       8 646 bytes     4.797602000         0.0124
192.168.1.16:37864         <-> 121.37.39.209:30122              3 224 bytes       4 296 bytes       7 520 bytes     0.000000000         0.0244
192.168.1.16:41248         <-> 114.132.204.167:30139            3 224 bytes       4 296 bytes       7 520 bytes     3.320300000         0.0251
114.132.204.167:30139      <-> 192.168.1.16:40988               3 269 bytes       4 329 bytes       7 598 bytes     5.045155000         0.0116
192.168.1.16:47918         <-> 110.41.60.161:30122              2 152 bytes       4 296 bytes       6 448 bytes     0.000392000         0.0301
192.168.1.16:38334         <-> 124.71.15.147:30122              2 152 bytes       4 296 bytes       6 448 bytes     0.000887000         0.0258
192.168.1.16:47846         <-> 116.205.241.185:30122            2 152 bytes       4 296 bytes       6 448 bytes     0.001742000         0.0286
192.168.1.16:39914         <-> 121.37.218.156:30146             2 152 bytes       4 296 bytes       6 448 bytes     3.209623000         0.0197
192.168.1.16:39918         <-> 121.37.218.156:30146             2 152 bytes       4 296 bytes       6 448 bytes     3.218585000         0.0206
192.168.1.16:40376         <-> 121.37.218.156:30146             2 152 bytes       4 296 bytes       6 448 bytes    23.351041000         0.0245
192.168.1.16:48562         <-> 110.41.60.161:30122              2 152 bytes       4 296 bytes       6 448 bytes    24.777608000         0.0208
192.168.1.16:41768         <-> 114.132.204.167:30139            2 152 bytes       4 296 bytes       6 448 bytes    25.190204000         0.0252
192.168.1.16:39120         <-> 124.71.15.147:30122              2 152 bytes       4 296 bytes       6 448 bytes    27.504487000         0.0176
192.168.1.16:38668         <-> 121.37.39.209:30122              2 152 bytes       4 296 bytes       6 448 bytes    27.536203000         0.0213
192.168.1.16:48626         <-> 116.205.241.185:30122            2 152 bytes       4 296 bytes       6 448 bytes    27.559740000         0.0217
192.168.1.16:41902         <-> 114.132.204.167:30139            2 152 bytes       4 296 bytes       6 448 bytes    28.543605000         0.0299
192.168.1.16:38516         <-> 113.45.47.238:30146              2 152 bytes       4 296 bytes       6 448 bytes    33.592877000         0.0191
192.168.1.16:47346         <-> 124.71.18.253:30146              2 152 bytes       4 296 bytes       6 448 bytes    33.594126000         0.0220
192.168.1.16:40736         <-> 121.37.218.156:30146             2 152 bytes       4 296 bytes       6 448 bytes    33.594165000         0.0245
192.168.1.16:40374         <-> 113.45.254.81:30146              2 152 bytes       4 296 bytes       6 448 bytes    33.594186000         0.0261
192.168.1.16:46480         <-> 110.41.11.13:30146               2 152 bytes       4 296 bytes       6 448 bytes    33.594217000         0.0264
192.168.1.16:38898         <-> 121.37.39.209:30122              2 152 bytes       4 296 bytes       6 448 bytes    35.093823000         0.0242
192.168.1.16:48950         <-> 110.41.60.161:30122              2 152 bytes       4 296 bytes       6 448 bytes    35.094653000         0.0321
192.168.1.16:39382         <-> 124.71.15.147:30122              2 152 bytes       4 296 bytes       6 448 bytes    35.098687000         0.0218
192.168.1.16:48884         <-> 116.205.241.185:30122            2 152 bytes       4 296 bytes       6 448 bytes    35.099432000         0.0284
192.168.1.16:39298         <-> 121.37.218.156:30146             2 197 bytes       3 192 bytes       5 389 bytes     0.395627000         0.0131
192.168.1.16:39726         <-> 121.37.218.156:30146             2 197 bytes       3 192 bytes       5 389 bytes     0.397184000         0.0118
192.168.1.16:43378         <-> 121.37.218.156:30146             2 197 bytes       3 192 bytes       5 389 bytes     0.397344000         0.0139
192.168.1.16:39732         <-> 121.37.218.156:30146             2 197 bytes       3 192 bytes       5 389 bytes     0.397419000         0.0116
192.168.1.16:39730         <-> 121.37.218.156:30146             2 197 bytes       3 192 bytes       5 389 bytes     0.397470000         0.0137
192.168.1.16:42160         <-> 114.132.204.167:30139            0 0 bytes         1 80 bytes        1 80 bytes     35.163144000         0.0000
================================================================================
